Date,bitcoin,ethereum,litecoin,binancecoin,cardano,ripple,stellar,solana,polkadot
2013-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-29,135.3,0.0,4.29983,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-30,141.96,0.0,4.3594,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,135.3,0.0,4.18295,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-02,117.0,0.0,3.64914,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-03,103.43,0.0,3.38879,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-04,91.01,0.0,2.78957,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-05,111.25,0.0,3.51708,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-06,116.79,0.0,3.63013,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-07,118.33,0.0,3.50733,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-08,106.4,0.0,3.21463,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-09,112.64,0.0,3.4615,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-10,113.0,0.0,3.4239,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-11,118.78,0.0,3.50018,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-12,113.01,0.0,3.38675,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-13,114.713,0.0,3.24093,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-14,117.18,0.0,3.20229,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-15,114.5,0.0,3.0673,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-16,114.156,0.0,2.93058,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-17,115.5,0.0,2.86922,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-18,123.1,0.0,3.15827,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-19,123.88,0.0,3.32471,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-20,120.501,0.0,3.27158,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-21,122.58,0.0,3.18818,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-22,122.9,0.0,3.08331,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-23,123.0,0.0,3.0921,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-24,125.748,0.0,3.1525,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-25,131.7,0.0,3.14642,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26,130.77,0.0,3.1162,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-27,134.6,0.0,3.2562,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-28,128.985,0.0,3.11957,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29,129.179,0.0,3.09213,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-30,132.13,0.0,3.07544,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-31,127.401,0.0,2.94667,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,127.98,0.0,2.94623,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-02,129.09,0.0,2.8435,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-03,121.3,0.0,2.6895,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-04,121.16,0.0,2.7273,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-05,121.309,0.0,2.98423,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-06,121.714,0.0,2.83148,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-07,119.0,0.0,2.7589,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-08,110.09,0.0,2.5823,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-09,108.401,0.0,2.53026,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-10,99.7497,0.0,2.31937,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-11,105.99,0.0,2.48252,0.0,0.0,0.0,0.0,0.0,0.0
